intent,pertanyaan,jawaban,pertanyaan_clean
layanan_PLN,"Tolong, apa layanan yang mendukung pengaduan di kantor PLN?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong apa layanan yang mendukung pengaduan di kantor pln
layanan_PLN,"Halo, fitur pada PLN yang tersedia melalui aplikasi apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo fitur pada pln yang tersedia melalui aplikasi apa saja
layanan_PLN,apa saja yang tersedia pelayanan di kantor PLN di loket tolong jelaskan?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",apa saja yang tersedia pelayanan di kantor pln di loket tolong jelaskan
layanan_PLN,"Admin, daftar layanan pada PLN untuk pelanggan bisnis apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin daftar layanan pada pln untuk pelanggan bisnis apa saja
layanan_PLN,"Admin, apa saja layanannya terkait informasi gangguan di kantor PLN?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin apa saja layanannya terkait informasi gangguan di kantor pln
layanan_PLN,fitur di PLN Mobile yang disediakan di website resmi apa saja?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",fitur di pln mobile yang disediakan di website resmi apa saja
layanan_PLN,"Halo, mohon info servis informasi tarif di PLN Mobile","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo mohon info servis informasi tarif di pln mobile
layanan_PLN,"Permisi, apa fiturnya servis di kantor PLN butuh detail?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",permisi apa fiturnya servis di kantor pln butuh detail
layanan_PLN,"Admin, apakah ada fitur pengaduan pada PLN?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin apakah ada fitur pengaduan pada pln
layanan_PLN,"Admin, apa saja layanannya terkait informasi gangguan pada aplikasi PLN Mobile?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin apa saja layanannya terkait informasi gangguan pada aplikasi pln mobile
layanan_PLN,apa saja ya layanan di PLN Mobile untuk pelanggan rumah tangga tolong jelaskan?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",apa saja layanan di pln mobile untuk pelanggan rumah tangga tolong jelaskan
layanan_PLN,"Permisi, daftar pelayanan PLN untuk pelanggan rumah tangga apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",permisi daftar pelayanan pln untuk pelanggan rumah tangga apa saja
layanan_PLN,"Tolong, daftar layanan PLN untuk pelanggan bisnis apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong daftar layanan pln untuk pelanggan bisnis apa saja
layanan_PLN,apa saja yang tersedia fitur pada PLN?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",apa saja yang tersedia fitur pada pln
layanan_PLN,"Permisi, layanan apa saja terkait info pemadaman PLN?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",permisi layanan apa saja terkait info pemadaman pln
layanan_PLN,apakah ada fitur token prabayar di PLN?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",apakah ada fitur token prabayar di pln
layanan_PLN,"Halo, apa fiturnya terkait bayar tagihan di PLN?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo apa fiturnya terkait bayar tagihan di pln
layanan_PLN,"Admin, layanan PLN yang ada untuk pelanggan rumah tangga apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin layanan pln yang ada untuk pelanggan rumah tangga apa saja
layanan_PLN,"Admin, apa saja yang tersedia layanan PLN melalui aplikasi tolong jelaskan?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin apa saja yang tersedia layanan pln melalui aplikasi tolong jelaskan
layanan_PLN,"Tolong, apa saja terkait tambah daya di PLN Mobile?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong apa saja terkait tambah daya di pln mobile
layanan_PLN,daftar servis PLN di loket apa saja?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",daftar servis pln di loket apa saja
layanan_PLN,apa saja ya terkait token prabayar pada aplikasi PLN Mobile?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",apa saja terkait token prabayar pada aplikasi pln mobile
layanan_PLN,"Halo, daftar servis di kantor PLN melalui aplikasi apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo daftar servis di kantor pln melalui aplikasi apa saja
layanan_PLN,"Admin, apakah ada servis sambungan baru di kantor PLN?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin apakah ada servis sambungan baru di kantor pln
layanan_PLN,"Tolong, apa saja layanannya servis di PLN Mobile melalui aplikasi butuh detail?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong apa saja layanannya servis di pln mobile melalui aplikasi butuh detail
layanan_PLN,apa fitur yang mendukung info pemadaman PLN?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",apa fitur yang mendukung info pemadaman pln
layanan_PLN,"Tolong, daftar pelayanan di kantor PLN secara online apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong daftar pelayanan di kantor pln secara online apa saja
layanan_PLN,"Admin, apa saja servis pada aplikasi PLN Mobile?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin apa saja servis pada aplikasi pln mobile
layanan_PLN,layanan apa saja layanan di PLN Mobile?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",layanan apa saja layanan di pln mobile
layanan_PLN,"Admin, layanan di PLN yang disediakan di loket apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin layanan di pln yang disediakan di loket apa saja
layanan_PLN,"Tolong, fitur di PLN yang ada untuk pelanggan bisnis apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong fitur di pln yang ada untuk pelanggan bisnis apa saja
layanan_PLN,"Permisi, servis di PLN yang bisa digunakan untuk pelanggan bisnis apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",permisi servis di pln yang bisa digunakan untuk pelanggan bisnis apa saja
layanan_PLN,"Halo, apa saja ya servis di PLN di website resmi ?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo apa saja servis di pln di website resmi
layanan_PLN,"Halo, apa saja ya fitur di PLN Mobile untuk pelanggan bisnis minta daftarnya?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo apa saja fitur di pln mobile untuk pelanggan bisnis minta daftarnya
layanan_PLN,"Tolong, fitur di PLN yang tersedia apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong fitur di pln yang tersedia apa saja
layanan_PLN,"Permisi, servis PLN yang dapat diakses secara online apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",permisi servis pln yang dapat diakses secara online apa saja
layanan_PLN,mohon info pelayanan sambungan baru di PLN Mobile,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",mohon info pelayanan sambungan baru di pln mobile
layanan_PLN,"Halo, servis di PLN yang tersedia apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo servis di pln yang tersedia apa saja
layanan_PLN,"Halo, fitur pada PLN yang dapat diakses di website resmi apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo fitur pada pln yang dapat diakses di website resmi apa saja
layanan_PLN,"Tolong, apa saja yang tersedia pelayanan PLN untuk pelanggan rumah tangga minta daftarnya?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong apa saja yang tersedia pelayanan pln untuk pelanggan rumah tangga minta daftarnya
layanan_PLN,"Tolong, apa servis yang mendukung tambah daya di PLN?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong apa servis yang mendukung tambah daya di pln
layanan_PLN,daftar servis di PLN secara online apa saja?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",daftar servis di pln secara online apa saja
layanan_PLN,"Halo, apakah ada pelayanan bayar tagihan di kantor PLN?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo apakah ada pelayanan bayar tagihan di kantor pln
layanan_PLN,apa saja fitur di PLN?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",apa saja fitur di pln
layanan_PLN,"Permisi, apa saja layanannya fitur pada aplikasi PLN Mobile?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",permisi apa saja layanannya fitur pada aplikasi pln mobile
layanan_PLN,"Admin, pelayanan pada aplikasi PLN Mobile yang disediakan di website resmi apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin pelayanan pada aplikasi pln mobile yang disediakan di website resmi apa saja
layanan_PLN,"Halo, apa saja layanannya terkait cek tagihan di PLN Mobile?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo apa saja layanannya terkait cek tagihan di pln mobile
layanan_PLN,"Admin, apa saja layanan di PLN Mobile butuh detail?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin apa saja layanan di pln mobile butuh detail
layanan_PLN,"Admin, apa saja ya terkait informasi tarif di PLN Mobile?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin apa saja terkait informasi tarif di pln mobile
layanan_PLN,"Halo, apa saja yang tersedia terkait sambungan baru pada PLN?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo apa saja yang tersedia terkait sambungan baru pada pln
layanan_PLN,"Halo, fitur di PLN Mobile yang disediakan untuk pelanggan bisnis apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo fitur di pln mobile yang disediakan untuk pelanggan bisnis apa saja
layanan_PLN,"Admin, apakah ada layanan pengaduan di PLN Mobile?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin apakah ada layanan pengaduan di pln mobile
layanan_PLN,"Tolong, fitur pada aplikasi PLN Mobile yang bisa digunakan apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong fitur pada aplikasi pln mobile yang bisa digunakan apa saja
layanan_PLN,apa layanan fitur di PLN Mobile tolong jelaskan?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",apa layanan fitur di pln mobile tolong jelaskan
layanan_PLN,"Tolong, apa saja ya pelayanan di PLN?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong apa saja pelayanan di pln
layanan_PLN,"Tolong, apa pelayanan yang mendukung informasi tarif pada PLN?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",tolong apa pelayanan yang mendukung informasi tarif pada pln
layanan_PLN,fitur pada PLN yang disediakan di website resmi apa saja?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",fitur pada pln yang disediakan di website resmi apa saja
layanan_PLN,"Admin, servis pada aplikasi PLN Mobile yang bisa digunakan untuk pelanggan rumah tangga apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",admin servis pada aplikasi pln mobile yang bisa digunakan untuk pelanggan rumah tangga apa saja
layanan_PLN,pelayanan pada PLN yang ada untuk pelanggan rumah tangga apa saja?,"PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",pelayanan pada pln yang ada untuk pelanggan rumah tangga apa saja
layanan_PLN,"Halo, pelayanan di PLN yang dapat diakses apa saja?","PLN menyediakan layanan sambungan baru, tambah daya, cek dan bayar tagihan, pengaduan dan informasi gangguan/pemadaman, token prabayar, serta informasi tarif. Layanan tersedia melalui PLN Mobile, situs resmi PLN, dan kanal resmi lainnya.",halo pelayanan di pln yang dapat diakses apa saja
sambungan_baru,"Halo, tarif pasang meteran baru untuk daya 4400 VA berapa?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",halo tarif pasang meteran baru untuk daya 4400 va berapa
sambungan_baru,"Tolong, cara cek status pasang meteran baru lewat website PLN?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",tolong cara cek status pasang meteran baru lewat website pln
sambungan_baru,"Admin, butuh nomor HP untuk sambungan baru tidak?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",admin butuh nomor hp untuk sambungan baru tidak
sambungan_baru,"Halo, dokumen untuk pemasangan baru melalui aplikasi apa saja?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",halo dokumen untuk pemasangan baru melalui aplikasi apa saja
sambungan_baru,"Permisi, syarat sambung baru apa saja?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",permisi syarat sambung baru apa saja
sambungan_baru,"Tolong, biaya pasang pasang meteran baru untuk daya 900 VA berapa?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",tolong biaya pasang pasang meteran baru untuk daya 900 va berapa
sambungan_baru,jadwal survei proses pasang meteran baru di kantor PLN?,"Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",jadwal survei proses pasang meteran baru di kantor pln
sambungan_baru,"Tolong, alur mendaftar sambung baru lewat website PLN untuk rumah tangga?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",tolong alur mendaftar sambung baru lewat website pln untuk rumah tangga
sambungan_baru,"Admin, kapan jadwal survei untuk pemasangan baru di kantor PLN?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",admin kapan jadwal survei untuk pemasangan baru di kantor pln
sambungan_baru,"Permisi, di mana melihat progres permohonan pasang meteran baru?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",permisi di mana melihat progres permohonan pasang meteran baru
sambungan_baru,cek status pemasangan baru bagaimana caranya?,"Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",cek status pemasangan baru bagaimana caranya
sambungan_baru,"Tolong, estimasi waktu proses pemasangan baru via website PLN?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",tolong estimasi waktu proses pemasangan baru via website pln
sambungan_baru,tolong info buat permohonan pasang listrik baru untuk ruko untuk daya 4400 VA?,"Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",tolong info buat permohonan pasang listrik baru untuk ruko untuk daya 4400 va
sambungan_baru,"Tolong, langkah mengajukan pasang meteran baru secara online untuk daya 6600 VA?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",tolong langkah mengajukan pasang meteran baru secara online untuk daya 6600 va
sambungan_baru,"Permisi, berkas pemasangan baru apa saja?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",permisi berkas pemasangan baru apa saja
sambungan_baru,"Tolong, apa cara pemasangan baru di menu Permohonan via website PLN?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",tolong apa cara pemasangan baru di menu permohonan via website pln
sambungan_baru,"Admin, kapan jadwal survei untuk pasang listrik baru secara online?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",admin kapan jadwal survei untuk pasang listrik baru secara online
sambungan_baru,persyaratan pemasangan baru apa saja?,"Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",persyaratan pemasangan baru apa saja
sambungan_baru,"Halo, butuh kartu keluarga untuk pemasangan baru tidak?","Permohonan sambungan baru dapat diajukan melalui PLN Mobile (menu Permohonan/Sambungan Baru) dengan menyiapkan data identitas dan alamat lengkap. Biaya, jadwal survei, dan status permohonan akan ditampilkan di aplikasi.",halo butuh kartu keluarga untuk pemasangan baru tidak
